FID,OBJECTID,Spaces,Fee,Comments,Phone,Name,Address,Neighborho,Maxspaces,Hours,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,1,60,No Charge, , ,Municipal Lot #003,115 Harvard Ave, ,0, ,1bc385c4-285f-49d6-a606-151380906d38,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.18414198,52.13945511
2,2,42,No Charge, , ,Municipal Lot #002,398 Market St, ,0, ,a9fcf634-ae60-407a-8b05-9bcac6bfeb63,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.20695389,52.13501824
3,3,,No Charge,"Only Allston and Brighton residents can park at this garage during a snow emergency only. May need to show proof of residency. Parking spots are limited and on a first-come, first-served basis. If parked past the approved the time, may be ticketed/towed.",617-496-6400,Harvard University/Soldiers Field Park Garage ,111 Western Ave, ,0, ,9e939045-7d01-4981-bd86-819eec93ec7c,12/4/17 17:09,BostonGIS,1/15/19 20:03,BostonGIS,-79.17328721,52.15701113
4,4,18,No Charge,, ,Municipal Lot #034,1891 Centre Street, ,0, ,0cddfbc4-5afb-40fb-a783-d9f98c95f3a7,12/4/17 17:09,BostonGIS,6/28/19 15:53,BostonGIS,-79.21074252,52.03874208
5,5,53,No Charge, , ,Municipal Lot #010,39-41 Corey St, ,0, ,5379d27e-2f96-43ca-aea2-9810bad6ac36,12/4/17 17:09,BostonGIS,12/4/17 17:34,,-79.20843675,52.0388701
6,6,,$10 for each 24-hour period,"Discounted parking is only for Chinatown, Downtown, and North End residents. You need to provide proof of your residency. You will be charged each time your vehicle exits and re-enters the garage.",617-357-1987,Lafayette Garage,1 Avenue De Lafayette, ,0, ,6a6f6aba-32f9-4ed4-8faf-86b3527b017f,12/4/17 17:09,BostonGIS,1/15/19 16:31,BostonGIS,-79.1058549,52.14061022
7,7,60,No Charge, , ,Municipal Lot #018,450 West Broadway, ,0, ,5f992294-e587-4cab-90ac-58e9b9e2765d,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.08861052,52.1150901
8,8,22,No Charge, , ,Municipal Lot #021,"650-652 East Broadway
", ,0, ,22459e32-8031-4d07-a2b3-37724ec6d665,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.07958619,52.11428399
9,9,,$1 for each night,Discounted rate for residents of South Boston only. South Boston Resident Parking Permits are required.  Snow Emergency parking is allowed on the fourth floor of the garage only.,617-482-2487,BPDA/EDIC Garage,12 Drydock Ave, ,0, ,6bd71b92-c461-4a3c-ad4a-9426fdc474b4,12/4/17 17:09,BostonGIS,1/16/19 15:45,BostonGIS,-79.07683986,52.12805041
10,10,,You pay 50% of the variable rate. The most you will pay is $17.50 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-267-9677,Northeastern University/Renaissance Park Garage,835 Columbus Avenue, ,0, ,5053fd3b-4799-4027-94bc-947c69d25945,12/4/17 17:09,BostonGIS,1/15/19 16:31,BostonGIS,-79.1340317,52.11611003
11,11,,You pay 50% of the variable rate. The most you will pay is $17.50 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-266-7260,Northeastern University/Gainsboro Garage,10 Gainsborough Street, ,0, ,1cd2ff90-10cb-48d0-b77f-76b92cbba22e,12/4/17 17:09,BostonGIS,1/15/19 16:31,BostonGIS,-79.13221158,52.12108195
12,12,,$10/24 hrs,"Discounted parking is only for Back Bay, Beacon Hill, Chinatown, Downtown, Fenway/Kenmore, and South End residents. You will be charged each time you exit and re-enter the garage with your vehicle.",617-247-8006,Auditorium Garage,50 Dalton St, ,0, ,005a11ed-4a55-4373-b4b7-1cda6571e451,12/4/17 17:09,BostonGIS,1/15/19 16:30,BostonGIS,-79.1323187,52.13115979
13,13,,FULL,"Charlestown residents only.  Limited space so the garage enforces the 2 hour rule.  Anyone who enters more than 2 hours before the Snow Emergency is in effect and/or departs more than 2 hours after the ban has lifted, will not receive the discount rate.", ,Shipyard Garage/Mass General Hospital,"Building #199 13th St
", ,0, ,4a6dd815-9a4a-48ab-b910-a688e451fd92,12/4/17 17:09,BostonGIS,1/15/19 16:31,BostonGIS,-79.0934554,52.17566219
15,15,42,No Charge, , ,Municipal Lot #017,"575-581 Washington St
", ,0, ,c2c0ebac-589d-468a-9ba8-cd9a8a8eff0a,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.1169864,52.04726838
16,16,100,No Charge, , ,Municipal Lot #019,16 Hamlet St, ,0, ,e95d9902-6513-4d26-bb9f-3d5579f5e320,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.10949367,52.08745365
17,17,22,No Charge, , ,"Municipal Lot #020 
",191 Adams St, ,0, ,2849c5ff-fcc8-4d56-b667-1454c6d222da,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.10427297,52.06386201
18,18,12,No Charge, , ,Municipal Lot #022,730-732 Dudley St, ,0, ,7035791d-a24a-4811-a077-2aff4bb74e15,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.11151411,52.08755252
19,19,32,No Charge, , ,Municipal Lot #016,8-20 Belden St, ,0, ,26514a95-0e08-4419-af88-f4add9e92b95,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.11040702,52.08759276
20,20,40,No Charge, , ,Municipal Lot #023,20 Georgia St, ,0, ,3bdf0475-0c19-4112-9236-557536eba4b4,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.12997519,52.07411155
21,21,18,No Charge, , ,Municipal Lot #015,254-258 Bowdoin St, ,0, ,65526c05-b044-47e8-813d-1ddd67bc7e7f,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.1113913,52.07045181
22,22,24,No Charge, , ,Municipal Lot #031,629 Washington St, ,0, ,5166fbef-9363-4f1d-926a-479b24d65989,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.11664321,52.04456209
23,23,18,No Charge, , ,Municipal Lot #027,25 Blue Hill Ave, ,0, ,38360a4b-6fcb-4be6-8277-ac36128cae08,12/4/17 17:09,BostonGIS,12/4/17 17:09,BostonGIS,-79.1210564,52.09717764
